id,semantic_groups,preflabel,name,synonyms,description
ensembl:ENSG00000244479,NA,ensembl:ENSG00000244479,OR2A1 antisense RNA 1,NA,NA
HGNC:5125,GENE,HOXC13,homeobox C13,ECTD9|HOX3|HOX3G,"This gene belongs to the homeobox family of genes. The homeobox genes encode a highly conserved family of transcription factors that play an important role in morphogenesis in all multicellular organisms. Mammals possess four similar homeobox gene clusters, HOXA, HOXB, HOXC and HOXD, which are located on different chromosomes and consist of 9 to 11 genes arranged in tandem. This gene is one of several homeobox HOXC genes located in a cluster on chromosome 12. The product of this gene may play a role in the development of hair, nail, and filiform papilla. [provided by RefSeq, Jul 2008]."
HGNC:2705,GENE,DCN,decorin,CSCD|DSPG2|PG40|PGII|PGS2|SLRR1B,"This gene encodes a member of the small leucine-rich proteoglycan family of proteins. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate the mature protein. This protein plays a role in collagen fibril assembly. Binding of this protein to multiple cell surface receptors mediates its role in tumor suppression, including a stimulatory effect on autophagy and inflammation and an inhibitory effect on angiogenesis and tumorigenesis. This gene and the related gene biglycan are thought to be the result of a gene duplication. Mutations in this gene are associated with congenital stromal corneal dystrophy in human patients. [provided by RefSeq, Nov 2015]."
HGNC:1073,GENE,BMP6,bone morphogenetic protein 6,VGR|VGR1,"This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate each subunit of the disulfide-linked homodimer. This protein regulates a wide range of biological processes including iron homeostasis, fat and bone development, and ovulation. Differential expression of this gene may be associated with progression of breast and prostate cancer. Mutations in this gene may be associated with iron overload in human patients. [provided by RefSeq, Jul 2016]."
HGNC:5118,GENE,HOXB7,homeobox B7,HHO.C1|HOX2|HOX2C|Hox-2.3,"This gene is a member of the Antp homeobox family and encodes a protein with a homeobox DNA-binding domain. It is included in a cluster of homeobox B genes located on chromosome 17. The encoded nuclear protein functions as a sequence-specific transcription factor that is involved in cell proliferation and differentiation. Increased expression of this gene is associated with some cases of melanoma and ovarian carcinoma. [provided by RefSeq, Jul 2008]."
HGNC:3600,GENE,FBLN1,fibulin 1,FBLN|FIBL1,"Fibulin 1 is a secreted glycoprotein that becomes incorporated into a fibrillar extracellular matrix. Calcium-binding is apparently required to mediate its binding to laminin and nidogen. It mediates platelet adhesion via binding fibrinogen. Four splice variants which differ in the 3' end have been identified. Each variant encodes a different isoform, but no functional distinctions have been identified among the four variants. [provided by RefSeq, Jul 2008]."
HGNC:3496,GENE,MPZL2,myelin protein zero like 2,DFNB111|EVA|EVA1,"Thymus development depends on a complex series of interactions between thymocytes and the stromal component of the organ. Epithelial V-like antigen (EVA) is expressed in thymus epithelium and strongly downregulated by thymocyte developmental progression. This gene is expressed in the thymus and in several epithelial structures early in embryogenesis. It is highly homologous to the myelin protein zero and, in thymus-derived epithelial cell lines, is poorly soluble in nonionic detergents, strongly suggesting an association to the cytoskeleton. Its capacity to mediate cell adhesion through a homophilic interaction and its selective regulation by T cell maturation might imply the participation of EVA in the earliest phases of thymus organogenesis. The protein bears a characteristic V-type domain and two potential N-glycosylation sites in the extracellular domain; a putative serine phosphorylation site for casein kinase 2 is also present in the cytoplasmic tail. Two transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008]."
HGNC:11714,GENE,TEAD1,TEA domain transcription factor 1,AA|NTEF-1|REF1|TCF-13|TCF13|TEAD-1|TEF-1,"This gene encodes a ubiquitous transcriptional enhancer factor that is a member of the TEA/ATTS domain family. This protein directs the transactivation of a wide variety of genes and, in placental cells, also acts as a transcriptional repressor. Mutations in this gene cause Sveinsson's chorioretinal atrophy. Additional transcript variants have been described but their full-length natures have not been experimentally verified. [provided by RefSeq, May 2010]."
HGNC:26353,GENE,RANBP3L,RAN binding protein 3 like,NA,NA
HGNC:5109,GENE,HOXA9,homeobox A9,ABD-B|HOX1|HOX1.7|HOX1G,"In vertebrates, the genes encoding the class of transcription factors called homeobox genes are found in clusters named A, B, C, and D on four separate chromosomes. Expression of these proteins is spatially and temporally regulated during embryonic development. This gene is part of the A cluster on chromosome 7 and encodes a DNA-binding transcription factor which may regulate gene expression, morphogenesis, and differentiation. This gene is highly similar to the abdominal-B (Abd-B) gene of Drosophila. A specific translocation event which causes a fusion between this gene and the NUP98 gene has been associated with myeloid leukemogenesis. Read-through transcription exists between this gene and the upstream homeobox A10 (HOXA10) gene.[provided by RefSeq, Mar 2011]."
HGNC:9082,GENE,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",BRKS2|LH2|TLH,"The protein encoded by this gene is a membrane-bound homodimeric enzyme that is localized to the cisternae of the rough endoplasmic reticulum. The enzyme (cofactors iron and ascorbate) catalyzes the hydroxylation of lysyl residues in collagen-like peptides. The resultant hydroxylysyl groups are attachment sites for carbohydrates in collagen and thus are critical for the stability of intermolecular crosslinks. Some patients with Ehlers-Danlos syndrome type VIB have deficiencies in lysyl hydroxylase activity. Mutations in the coding region of this gene are associated with Bruck syndrome. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]."
HGNC:10499,GENE,S100A9,S100 calcium binding protein A9,60B8AG|CAGB|CFAG|CGLB|L1AG|LIAG|MAC387|MIF|MRP14|NIF|P14,"The protein encoded by this gene is a member of the S100 family of proteins containing 2 EF-hand calcium-binding motifs. S100 proteins are localized in the cytoplasm and/or nucleus of a wide range of cells, and involved in the regulation of a number of cellular processes such as cell cycle progression and differentiation. S100 genes include at least 13 members which are located as a cluster on chromosome 1q21. This protein may function in the inhibition of casein kinase and altered expression of this protein is associated with the disease cystic fibrosis. This antimicrobial protein exhibits antifungal and antibacterial activity. [provided by RefSeq, Nov 2014]."
HGNC:50581,GENE,RP5-855F14.1,long intergenic non-protein coding RNA 1354,NA,NA
ensembl:ENSG00000261040,NA,ensembl:ENSG00000261040,"WAP four-disulfide core domain 21, pseudogene",NA,NA
HGNC:4844,GENE,HCLS1,hematopoietic cell-specific Lyn substrate 1,CTTNL|HS1|lckBP1|p75,NA
HGNC:6010,GENE,IL2RG,interleukin 2 receptor subunit gamma,CD132|CIDX|IL-2RG|IMD4|P64|SCIDX|SCIDX1,"The protein encoded by this gene is an important signaling component of many interleukin receptors, including those of interleukin -2, -4, -7 and -21, and is thus referred to as the common gamma chain. Mutations in this gene cause X-linked severe combined immunodeficiency (XSCID), as well as X-linked combined immunodeficiency (XCID), a less severe immunodeficiency disorder. [provided by RefSeq, Mar 2010]."
HGNC:17032,GENE,VSIG4,V-set and immunoglobulin domain containing 4,CRIg|Z39IG,"This gene encodes a v-set and immunoglobulin-domain containing protein that is structurally related to the B7 family of immune regulatory proteins. The encoded protein may be a negative regulator of T-cell responses. This protein is also a receptor for the complement component 3 fragments C3b and iC3b. Alternate splicing results in multiple transcript variants. [provided by RefSeq, May 2010]."
HGNC:10953,GENE,SLCO4A1,solute carrier organic anion transporter family member 4A1,OATP-E|OATP1|OATP4A1|OATPE|OATPRP1|POAT|SLC21A12,NA
HGNC:30525,GENE,MARVELD3,MARVEL domain containing 3,MARVD3|MRVLDC3,NA
HGNC:13587,GENE,FBXO8,F-box protein 8,DC10|FBS|FBX8,"This gene encodes a member of the F-box protein family which is characterized by an approximately 40 amino acid motif, the F-box. The F-box proteins constitute one of the four subunits of the ubiquitin protein ligase complex called SCFs (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into 3 classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbxs class. It contains a C-terminal amino acid sequence that bears a significant similarity with a portion of yeast Sec7p, a critical regulator of vesicular protein transport. This human protein may interact with ADP-ribosylation factor(s)(ARFs) and exhibit ARF-GEF (guanine nucleotide exchange factor) activity. [provided by RefSeq, Jul 2008]."
HGNC:26633,GENE,SLFN11,schlafen family member 11,SLFN8/9,NA
HGNC:25607,GENE,TMEM100,transmembrane protein 100,NA,NA
HGNC:6349,GENE,KLF5,Kruppel like factor 5,BTEB2|CKLF|IKLF,"This gene encodes a member of the Kruppel-like factor subfamily of zinc finger proteins. The encoded protein is a transcriptional activator that binds directly to a specific recognition motif in the promoters of target genes. This protein acts downstream of multiple different signaling pathways and is regulated by post-translational modification. It may participate in both promoting and suppressing cell proliferation. Expression of this gene may be changed in a variety of different cancers and in cardiovascular disease. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2013]."
HGNC:26888,GENE,FAM43A,family with sequence similarity 43 member A,NA,NA
HGNC:2638,GENE,CYP3A5,cytochrome P450 family 3 subfamily A member 5,CP35|CYPIIIA5|P450PCN3|PCN3,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. The encoded protein metabolizes drugs as well as the steroid hormones testosterone and progesterone. This gene is part of a cluster of cytochrome P450 genes on chromosome 7q21.1. Two pseudogenes of this gene have been identified within this cluster on chromosome 7. Expression of this gene is widely variable among populations, and a single nucleotide polymorphism that affects transcript splicing has been associated with susceptibility to hypertensions. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2014]."
HGNC:8738,GENE,PCOLCE,procollagen C-endopeptidase enhancer,PCPE|PCPE-1|PCPE1,"Fibrillar collagen types I-III are synthesized as precursor molecules known as procollagens. These precursors contain amino- and carboxyl-terminal peptide extensions known as N- and C-propeptides, respectively, which are cleaved, upon secretion of procollagen from the cell, to yield the mature triple helical, highly structured fibrils. This gene encodes a glycoprotein which binds and drives the enzymatic cleavage of type I procollagen and heightens C-proteinase activity. [provided by RefSeq, Jul 2008]."
HGNC:2479,GENE,CST7,cystatin F,CMAP,"The cystatin superfamily encompasses proteins that contain multiple cystatin-like sequences. Some of the members are active cysteine protease inhibitors, while others have lost or perhaps never acquired this inhibitory activity. There are three inhibitory families in the superfamily, including the type 1 cystatins (stefins), type 2 cystatins and the kininogens. The type 2 cystatin proteins are a class of cysteine proteinase inhibitors found in a variety of human fluids and secretions. This gene encodes a glycosylated cysteine protease inhibitor with a putative role in immune regulation through inhibition of a unique target in the hematopoietic system. Expression of the protein has been observed in various human cancer cell lines established from malignant tumors. [provided by RefSeq, Jul 2008]."
HGNC:12006,GENE,TPD52L1,TPD52 like 1,D53|TPD53,"This gene encodes a member of a family of proteins that contain coiled-coil domains and may form hetero- or homomers. The encoded protein is involved in cell proliferation and calcium signaling. It also interacts with the mitogen-activated protein kinase kinase kinase 5 (MAP3K5/ASK1) and positively regulates MAP3K5-induced apoptosis. Multiple alternatively spliced transcript variants have been observed. [provided by RefSeq, Jan 2016]."
HGNC:4452,GENE,GPC4,glypican 4,K-glypican|KPTS,"Cell surface heparan sulfate proteoglycans are composed of a membrane-associated protein core substituted with a variable number of heparan sulfate chains. Members of the glypican-related integral membrane proteoglycan family (GRIPS) contain a core protein anchored to the cytoplasmic membrane via a glycosyl phosphatidylinositol linkage.  These proteins may play a role in the control of cell division and growth regulation.  The GPC4 gene is adjacent to the 3' end of GPC3 and may also play a role in Simpson-Golabi-Behmel syndrome. [provided by RefSeq, Jul 2008]."
HGNC:22788,GENE,FEZF1,FEZ family zinc finger 1,FEZ|HH22|ZNF312B,"This gene encodes a transcriptional repressor that belongs to the zinc finger double domain protein family. The encoded protein is thought to play a role in the embryonic migration of gonadotropin-releasing hormone neurons into the brain. Mutations in this gene are associated with hypogonadotropic hypogonadism-22 with anosmia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2014]."
HGNC:10994,GENE,SLC26A2,solute carrier family 26 member 2,D5S1708|DTD|DTDST|EDM4|MST153|MSTP157,"The diastrophic dysplasia sulfate transporter is a transmembrane glycoprotein implicated in the pathogenesis of several human chondrodysplasias. It apparently is critical in cartilage for sulfation of proteoglycans and matrix organization. [provided by RefSeq, Jul 2008]."
HGNC:5209,GENE,HSD11B2,hydroxysteroid 11-beta dehydrogenase 2,AME|AME1|HSD11K|HSD2|SDR9C3,"There are at least two isozymes of the corticosteroid 11-beta-dehydrogenase, a microsomal enzyme complex responsible for the interconversion of cortisol and cortisone. The type I isozyme has both 11-beta-dehydrogenase (cortisol to cortisone) and 11-oxoreductase (cortisone to cortisol) activities. The type II isozyme, encoded by this gene, has only 11-beta-dehydrogenase activity. In aldosterone-selective epithelial tissues such as the kidney, the type II isozyme catalyzes the glucocorticoid cortisol to the inactive metabolite cortisone, thus preventing illicit activation of the mineralocorticoid receptor. In tissues that do not express the mineralocorticoid receptor, such as the placenta and testis, it protects cells from the growth-inhibiting and/or pro-apoptotic effects of cortisol, particularly during embryonic development. Mutations in this gene cause the syndrome of apparent mineralocorticoid excess and hypertension. [provided by RefSeq, Feb 2010]."
ensembl:ENSG00000249307,NA,ensembl:ENSG00000249307,long intergenic non-protein coding RNA 1088,NA,NA
ensembl:ENSG00000267745,NA,ensembl:ENSG00000267745,NA,NA,NA
HGNC:7135,GENE,AFF1,AF4/FMR2 family member 1,AF4|MLLT2|PBM1,"This gene encodes a member of the AF4/ lymphoid nuclear protein related to the Fragile X E syndrome (FRAXE) family of proteins, which have been implicated in human childhood lymphoblastic leukemia, fragile chromosome X intellectual disability, and ataxia. It is the prevalent mixed-lineage leukemia fusion gene associated with spontaneous acute lymphoblastic leukemia. Members of this family have three conserved domains: an N-terminal homology domain, an AF4/ lymphoid nuclear protein domain, and a C-terminal homology domain. The protein functions as a regulator of RNA polymerase II-mediated transcription through elongation and chromatin remodeling functions. Through RNA interference screens, this gene has been shown to promote the expression of CD133, a plasma membrane glycoprotein required for leukemia cell survival. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2017]."
HGNC:1319,GENE,C3AR1,complement C3a receptor 1,AZ3B|C3AR|HNFAG09,"C3a is an anaphylatoxin released during activation of the complement system. The protein encoded by this gene is an orphan G protein-coupled receptor for C3a. Binding of C3a by the encoded receptor activates chemotaxis, granule enzyme release, superoxide anion production, and bacterial opsonization. [provided by RefSeq, May 2016]."
HGNC:1346,GENE,C7,complement C7,NA,"This gene encodes a serum glycoprotein that forms a membrane attack complex together with complement components C5b, C6, C8, and C9 as part of the terminal complement pathway of the innate immune system. The protein encoded by this gene contains a cholesterol-dependent cytolysin/membrane attack complex/perforin-like (CDC/MACPF) domain and belongs to a large family of structurally related molecules that form pores involved in host immunity and bacterial pathogenesis. This protein initiates membrane attack complex formation by binding the C5b-C6 subcomplex and inserts into the phospholipid bilayer, serving as a membrane anchor. Mutations in this gene are associated with a rare disorder called C7 deficiency. [provided by RefSeq, Nov 2016]."
HGNC:7448,GENE,MTM1,myotubularin 1,CNM|MTMX|XLMTM,"This gene encodes a dual-specificity phosphatase that acts on both phosphotyrosine and phosphoserine. It is required for muscle cell differentiation and mutations in this gene have been identified as being responsible for X-linked myotubular myopathy. [provided by RefSeq, Jul 2008]."
HGNC:6027,GENE,CXCR2,C-X-C motif chemokine receptor 2,CD182|CDw128b|CMKAR2|IL8R2|IL8RA|IL8RB,"The protein encoded by this gene is a member of the G-protein-coupled receptor family. This protein is a receptor for interleukin 8 (IL8). It binds to IL8 with high affinity, and transduces the signal through a G-protein activated second messenger system. This receptor also binds to chemokine (C-X-C motif) ligand 1 (CXCL1/MGSA), a protein with melanoma growth stimulating activity, and has been shown to be a major component required for serum-dependent melanoma cell growth. This receptor mediates neutrophil migration to sites of inflammation. The angiogenic effects of IL8 in intestinal microvascular endothelial cells are found to be mediated by this receptor. Knockout studies in mice suggested that this receptor controls the positioning of oligodendrocyte precursors in developing spinal cord by arresting their migration. This gene, IL8RA, a gene encoding another high affinity IL8 receptor, as well as IL8RBP, a pseudogene of IL8RB, form a gene cluster in a region mapped to chromosome 2q33-q36. Alternatively spliced variants, encoding the same protein, have been identified. [provided by RefSeq, Nov 2009]."
ensembl:ENSG00000261589,NA,ensembl:ENSG00000261589,NA,NA,NA
ensembl:ENSG00000034063,NA,ensembl:ENSG00000034063,NA,NA,NA
HGNC:4838,GENE,SERPIND1,serpin family D member 1,D22S673|HC2|HCF2|HCII|HLS2|LS2|THPH10,"This gene belongs to the serpin gene superfamily. Serpins play roles in many processes including inflammation, blood clotting, and cancer metastasis. Members of this family have highly conserved secondary structures with a reactive center loop that interacts with the protease active site to inhibit protease activity. This gene encodes a plasma serine protease that functions as a thrombin and chymotrypsin inhibitor. The protein is activated by heparin, dermatan sulfate, and glycosaminoglycans. Allelic variations in this gene are associated with heparin cofactor II deficiency. [provided by RefSeq, Jul 2015]."
HGNC:24126,GENE,ATOH8,atonal bHLH transcription factor 8,HATH6|bHLHa21,NA
HGNC:1107,GENE,ZFP36L1,ZFP36 ring finger protein like 1,BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1,"This gene is a member of the TIS11 family of early response genes, which are induced by various agonists such as the phorbol ester TPA and the polypeptide mitogen EGF. This gene is well conserved across species and has a promoter that contains motifs seen in other early-response genes. The encoded protein contains a distinguishing putative zinc finger domain with a repeating cys-his motif. This putative nuclear transcription factor most likely functions in regulating the response to growth factors. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2011]."
HGNC:24048,GENE,ARL6IP6,ADP ribosylation factor like GTPase 6 interacting protein 6,AIP-6|AIP6|PFAAP1,NA
HGNC:1183,GENE,ANO2,anoctamin 2,C12orf3|TMEM16B,"ANO2 belongs to a family of calcium-activated chloride channels (CaCCs) (reviewed by Hartzell et al., 2009 [PubMed 19015192]).[supplied by OMIM, Jan 2011]."
ensembl:ENSG00000231486,NA,ensembl:ENSG00000231486,NA,NA,NA
HGNC:2053,GENE,CLEC2B,C-type lectin domain family 2 member B,AICL|CLECSF2|HP10085|IFNRG1,"This gene encodes a member of the C-type lectin/C-type lectin-like domain (CTL/CTLD) superfamily. Members of this family share a common protein fold and have diverse functions, such as cell adhesion, cell-cell signalling, glycoprotein turnover, and roles in inflammation and immune response. The encoded type 2 transmembrane protein may function as a cell activation antigen. An alternative splice variant has been described but its full-length sequence has not been determined. This gene is closely linked to other CTL/CTLD superfamily members on chromosome 12p13 in the natural killer gene complex region. [provided by RefSeq, Jul 2008]."
HGNC:9361,GENE,SRGN,serglycin,PPG|PRG|PRG1,"This gene encodes a protein best known as a hematopoietic cell granule proteoglycan. Proteoglycans stored in the secretory granules of many hematopoietic cells also contain a protease-resistant peptide core, which may be important for neutralizing hydrolytic enzymes. This encoded protein was found to be associated with the macromolecular complex of granzymes and perforin, which may serve as a mediator of granule-mediated apoptosis. Two transcript variants, only one of them protein-coding, have been found for this gene. [provided by RefSeq, Jul 2010]."
HGNC:17020,GENE,IRAK3,interleukin 1 receptor associated kinase 3,ASRT5|IRAKM,"This gene encodes a member of the interleukin-1 receptor-associated kinase protein family. Members of this family are essential components of the Toll/IL-R immune signal transduction pathways. This protein is primarily expressed in monocytes and macrophages and functions as a negative regulator of Toll-like receptor signaling. Mutations in this gene are associated with a susceptibility to asthma. Alternate splicing results in multiple transcript variants. [provided by RefSeq, May 2010]."
HGNC:26791,GENE,KLHDC7A,kelch domain containing 7A,NA,NA
HGNC:7227,GENE,MRAS,muscle RAS oncogene homolog,M-RAs|NS11|R-RAS3|RRAS3,"This gene encodes a member of the Ras family of small GTPases. These membrane-associated proteins function as signal transducers in multiple processes including cell growth and differentiation, and dysregulation of Ras signaling has been associated with many types of cancer. The encoded protein may play a role in the tumor necrosis factor-alpha and MAP kinase signaling pathways. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Nov 2011]."
ensembl:ENSG00000213144,NA,ensembl:ENSG00000213144,NA,NA,NA
HGNC:7404,GENE,MT1L,"metallothionein 1L, pseudogene",MT1|MT1R|MTF,NA
HGNC:26572,GENE,TMEM71,transmembrane protein 71,NA,NA
HGNC:17198,GENE,CHSY1,chondroitin sulfate synthase 1,CHSY|CSS1|ChSy-1|TPBS,"This gene encodes a member of the chondroitin N-acetylgalactosaminyltransferase family. These enzymes possess dual glucuronyltransferase and galactosaminyltransferase activity and play critical roles in the biosynthesis of chondroitin sulfate, a glycosaminoglycan involved in many biological processes including cell proliferation and morphogenesis. Decreased expression of this gene may play a role in colorectal cancer, and mutations in this gene are a cause of temtamy preaxial brachydactyly syndrome. [provided by RefSeq, Dec 2011]."
HGNC:4234,GENE,GEM,GTP binding protein overexpressed in skeletal muscle,KIR,"The protein encoded by this gene belongs to the RAD/GEM family of GTP-binding proteins. It is associated with the inner face of the plasma membrane and could play a role as a regulatory protein in receptor-mediated signal transduction. Alternative splicing occurs at this locus and two transcript variants encoding the same protein have been identified. [provided by RefSeq, Jul 2008]."
HGNC:26545,GENE,ARHGAP42,Rho GTPase activating protein 42,AD031|GRAF3|TMEM133,"This gene encodes a Rho GTPase-activating protein (RhoGAP), and member of the GRAF or BAR-PH family of proteins. Expression of this gene is enriched in vascular smooth muscle cells and the encoded protein inhibits RhoA activity to regulate vascular tone and control blood pressure. A mutation in the first intron of this gene modulates its expression and is associated with reduced blood pressure in human patients with borderline hypertension. [provided by RefSeq, Jul 2017]."
HGNC:553,GENE,AOX1,aldehyde oxidase 1,AO|AOH1,"Aldehyde oxidase produces hydrogen peroxide and, under certain conditions, can catalyze the formation of superoxide. Aldehyde oxidase is a candidate gene for amyotrophic lateral sclerosis. [provided by RefSeq, Jul 2008]."
HGNC:10498,GENE,S100A8,S100 calcium binding protein A8,60B8AG|CAGA|CFAG|CGLA|CP-10|L1Ag|MA387|MIF|MRP8|NIF|P8,"The protein encoded by this gene is a member of the S100 family of proteins containing 2 EF-hand calcium-binding motifs. S100 proteins are localized in the cytoplasm and/or nucleus of a wide range of cells, and involved in the regulation of a number of cellular processes such as cell cycle progression and differentiation. S100 genes include at least 13 members which are located as a cluster on chromosome 1q21. This protein may function in the inhibition of casein kinase and as a cytokine. Altered expression of this protein is associated with the disease cystic fibrosis. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2016]."
HGNC:10471,GENE,RUNX1,RUNX family transcription factor 1,AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha,"Core binding factor (CBF) is a heterodimeric transcription factor that binds to the core element of many enhancers and promoters. The protein encoded by this gene represents the alpha subunit of CBF and is thought to be involved in the development of normal hematopoiesis. Chromosomal translocations involving this gene are well-documented and have been associated with several types of leukemia. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]."
HGNC:29362,GENE,ZC3H12C,zinc finger CCCH-type containing 12C,MCPIP3,NA
HGNC:30358,GENE,RBM47,RNA binding motif protein 47,NET18,NA
HGNC:4274,GENE,GJA1,gap junction protein alpha 1,AVSD3|CMDR|CX43|EKVP|EKVP3|GJAL|HLHS1|HSS|ODDD|PPKCA,"This gene is a member of the connexin gene family. The encoded protein is a component of gap junctions, which are composed of arrays of intercellular channels that provide a route for the diffusion of low molecular weight materials from cell to cell. The encoded protein is the major protein of gap junctions in the heart that are thought to have a crucial role in the synchronized contraction of the heart and in embryonic development. A related intronless pseudogene has been mapped to chromosome 5. Mutations in this gene have been associated with oculodentodigital dysplasia, autosomal recessive craniometaphyseal dysplasia and heart malformations. [provided by RefSeq, May 2014]."
HGNC:6860,GENE,MAP3K8,mitogen-activated protein kinase kinase kinase 8,AURA2|COT|EST|ESTF|MEKK8|TPL2|Tpl-2|c-COT,"This gene is an oncogene that encodes a member of the serine/threonine protein kinase family. The encoded protein localizes to the cytoplasm and can activate both the MAP kinase and JNK kinase pathways. This protein was shown to activate IkappaB kinases, and thus induce the nuclear production of NF-kappaB. This protein was also found to promote the production of TNF-alpha and IL-2 during T lymphocyte activation. This gene may also utilize a downstream in-frame translation start codon, and thus produce an isoform containing a shorter N-terminus. The shorter isoform has been shown to display weaker transforming activity. Alternate splicing results in multiple transcript variants that encode the same protein. [provided by RefSeq, Sep 2011]."
HGNC:16262,GENE,YAP1,Yes1 associated transcriptional regulator,COB1|YAP|YAP2|YAP65|YKI,"This gene encodes a downstream nuclear effector of the Hippo signaling pathway which is involved in development, growth, repair, and homeostasis. This gene is known to play a role in the development and progression of multiple cancers as a transcriptional regulator of this signaling pathway and may function as a potential target for cancer treatment. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Aug 2013]."
HGNC:21368,GENE,SNRNP48,small nuclear ribonucleoprotein U11/U12 subunit 48,C6orf151|dJ336K20B.1|dJ512B11.2,NA
HGNC:14525,GENE,CHORDC1,cysteine and histidine rich domain containing 1,CHP1,NA
HGNC:30843,GENE,CD302,CD302 molecule,BIMLEC|CLEC13A|DCL-1|DCL1,"CD302 is a C-type lectin receptor involved in cell adhesion and migration, as well as endocytosis and phagocytosis (Kato et al., 2007 [PubMed 17947679]).[supplied by OMIM, Aug 2008]."
HGNC:910,GENE,AZGP1,"alpha-2-glycoprotein 1, zinc-binding",ZA2G|ZAG,NA
HGNC:28276,GENE,METTL7B,methyltransferase like 7B,ALDI,NA
HGNC:1130,GENE,BTG1,BTG anti-proliferation factor 1,APRO2,"This gene is a member of an anti-proliferative gene family that regulates cell growth and differentiation. Expression of this gene is highest in the G0/G1 phases of the cell cycle and downregulated when cells progressed through G1. The encoded protein interacts with several nuclear receptors, and functions as a coactivator of cell differentiation. This locus has been shown to be involved in a t(8;12)(q24;q22) chromosomal translocation in a case of B-cell chronic lymphocytic leukemia. [provided by RefSeq, Oct 2008]."
HGNC:12340,GENE,TRPS1,transcriptional repressor GATA binding 1,GC79|LGCR,"This gene encodes a transcription factor that represses GATA-regulated genes and binds to a dynein light chain protein. Binding of the encoded protein to the dynein light chain protein affects binding to GATA consensus sequences and suppresses its transcriptional activity. Defects in this gene are a cause of tricho-rhino-phalangeal syndrome (TRPS) types I-III. [provided by RefSeq, Jul 2008]."
HGNC:26976,GENE,ANAPC16,anaphase promoting complex subunit 16,APC16|C10orf104|CENP-27|MSAG|bA570G20.3,NA
HGNC:27291,GENE,C19orf59,mast cell expressed membrane protein 1,C19orf59,"This gene encodes a single-pass transmembrane protein. Based on its expression pattern, it is speculated to be involved in regulating mast cell differentiation or immune responses. [provided by RefSeq, Jul 2008]."
ensembl:ENSG00000267653,NA,ensembl:ENSG00000267653,NA,NA,NA
HGNC:13353,GENE,MAP1LC3C,microtubule associated protein 1 light chain 3 gamma,ATG8J|LC3C,"Autophagy is a highly regulated bulk degradation process that plays an important role in cellular maintenance and development. MAP1LC3C is an ortholog of the yeast autophagosome protein Atg8 (He et al., 2003 [PubMed 12740394]).[supplied by OMIM, Nov 2010]."
HGNC:347,GENE,AHNAK,AHNAK nucleoprotein,AHNAKRS|PM227,"The protein encoded by this gene is a large (700 kDa) structural scaffold protein consisting of a central domain with 128 aa repeats. The encoded protein may play a role in such diverse processes as blood-brain barrier formation, cell structure and migration, cardiac calcium channel regulation, and tumor metastasis. A much shorter variant encoding a 17 kDa isoform exists for this gene, and the shorter isoform initiates a feedback loop that regulates alternative splicing of this gene. [provided by RefSeq, Oct 2016]."
HGNC:27371,GENE,SLC25A30,solute carrier family 25 member 30,KMCP1,"Although the outer mitochondrial membrane is permeable to many small metabolites, transport of solutes across the inner mitochondrial membrane is achieved by members of the mitochondrial carrier protein family, such as SLC25A30 (Haguenauer et al., 2005 [PubMed 15809292]).[supplied by OMIM, Mar 2008]."
